"전체순서","중요도","게임","컨셉","효과음 확정명","납품 파일명","재생 시점","원하는 느낌","권장 길이(초)","반복","영문 검색어","한글 검색어","제작 및 재생 지침","현재 상태","진행 상태(수정)","선택한 음원 URL(수정)","제작자 및 이용조건(수정)","내 우선순위(수정)","메모(수정)"
"70","P2","E5","두쫀쿠 새총","다음 두쫀쿠 준비","sfx_e5_next_cookie.wav","발사체가 사라지고 다음 발사가 가능해질 때","작은 접시 톡 + 말랑한 팝","0.18","아니오","next projectile ready soft pop short","두쫀쿠 새총 다음 발사 준비 효과음","준비 문구와 동기화; 빠른 연속 파괴음 뒤에서는 생략 가능","다음 발사 준비 상태 존재; 사운드 없음","미착수","","","P2",""
"71","P2","E5","두쫀쿠 새총","두쫀쿠 튕김","sfx_e5_cookie_bounce.wav","발사체가 바닥에서 반동","둔탁한 과자 톡","0.2","아니오","cookie biscuit impact bounce","두쫀쿠 튕김 효과음 둔탁한 과자 톡","나무/표적 효과음과 우선순위 충돌 시 생략","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P2",""
"72","P2","E6","중력 비행","장애물 돌출","sfx_e6_gate_emerge.wav","화면 앞쪽의 글자 기둥이 통로 안으로 드러나기 시작할 때","낮은 기계 슬라이드","0.35","아니오","mechanical obstacle emerge slide short","중력 비행 장애물 돌출 기계 슬라이드 효과음","한 화면에서 여러 기둥이 겹치면 가장 가까운 것만 재생","장애물 돌출 연출 존재; 사운드 없음","미착수","","","P2",""
"73","P2","E7","월드컵 조추첨","관중 기대감","sfx_e7_crowd_murmur.wav","룰렛 감속으로 결과가 가까워짐","작은 웅성거림","2","예","small crowd anticipation murmur loop","관중 기대감 효과음 작은 웅성거림","보컬 없는 군중 질감; 정지와 동시에 종료; 딸깍이 항상 앞에","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P2",""
"74","P2","E7","월드컵 조추첨","약한 스와이프 무효","sfx_e7_weak_swipe.wav","최소 이동·속도에 못 미쳐 룰렛이 돌지 않을 때","힘 빠지는 작은 툭","0.16","아니오","weak swipe invalid soft tick short","룰렛 약한 스와이프 무효 효과음","실패음과 구분; 안내 문구가 바뀔 때만 1회","최소 스와이프 검증 존재; 사운드 없음","미착수","","","P2",""
"75","P2","E7","월드컵 조추첨","추첨 성공 환호","sfx_e7_crowd_cheer.wav","목표 국가 당첨","짧은 와아","1","아니오","small crowd cheer short no music","추첨 성공 환호 효과음 짧은 와아","직접 여러 목소리 녹음 가능; 공통 성공음 뒤에 작게","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P2",""
"76","P2","E8","거미줄 질주","거미줄 장력","sfx_e8_rope_tension.wav","스윙 최저점 부근에서 줄 장력과 속도가 커질 때","얇게 팽팽해지는 섬유 마찰","0.8","예","web rope tension strain seamless loop","거미줄 장력 섬유 마찰 루프","장력에 따라 볼륨 변화; 해제 즉시 80ms 페이드","장력 계산 가능; 사운드 연동 없음","미착수","","","P2",""
"77","P2","E8","거미줄 질주","공중 회전 스침","sfx_e8_air_pass.wav","빠른 장애물/지점 스침 연출","작은 슉","0.2","아니오","fast air pass by short","공중 회전 스침 효과음 작은 슉","별도 연출 조건 추가가 필요; 스윙 바람으로 충분하면 보류","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P2",""
"78","P2","E9","얼음 컬링","링크 경계 이탈","sfx_e9_boundary_out.wav","스톤이 링크 바깥으로 나가 재투구가 확정될 때","옆으로 빠지는 얼음 스침","0.25","아니오","curling stone out of bounds ice swipe","컬링 스톤 링크 경계 이탈 효과음","재투구음보다 먼저 짧게; 별도 구분이 불필요하면 빗나감음으로 통합","경계 이탈 판정 존재; 별도 사운드 없음","미착수","","","P2",""
"79","P2","E10","피겨 암호","서리 덮임","sfx_e10_frost_cover.wav","암호가 서리에 가려지는 연출","차가운 사르르","0.5","아니오","frost freezing ice shimmer short","서리 덮임 효과음 차가운 사르르","보이는 서리 변화에만; 시작부터 고정으로 가려져 있으면 생략","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P2",""
"80","P2","E10","피겨 암호","스케이트 밀기","sfx_e10_skate_push.wav","새 방향 입력으로 빙판을 밀며 가속할 때","짧은 챡 + 눈가루 스침","0.14","아니오","ice skate push stroke short","피겨 암호 스케이트 밀기 효과음","길게 누르는 동안 반복 금지; 방향이 새로 눌릴 때만","방향 입력 횟수·가속 기능 존재; 사운드 없음","미착수","","","P2",""
